STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/1/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/2/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/3/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/4/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/5/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/6/1970,,,,,,,,,0.3,",,0,0800",,,2,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/7/1970,,,,,,,,,0.37,",,0,0800",,,4,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/8/1970,,,,,,,,,0,",,0,0800",,,4,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/9/1970,,,,,,,,,0,",,0,0800",,,4,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/10/1970,,,,,,,,,0,",,0,0800",,,4,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/11/1970,,,,,,,,,0,",,0,0800",,,3,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/12/1970,,,,,,,,,0.38,",,0,0800",,,4,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/13/1970,,,,,,,,,0,",,0,0800",,,3,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/14/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/15/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/16/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/17/1970,,,,,,,,,0.02,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/18/1970,,,,,,,,,0.61,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/19/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/20/1970,,,,,,,,,0,"T,,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/21/1970,,,,,,,,,0.02,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/22/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/23/1970,,,,,,,,,0.15,",,0,0800",,,1,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/24/1970,,,,,,,,,0.08,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/25/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/26/1970,,,,,,,,,0.27,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/27/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/28/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/29/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/30/1970,,,,,,,,,1.76,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,1/31/1970,,,,,,,,,0,",,0,0800",,,0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,2/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,
USC00317486,"ROSMAN, NC US",35.137,-82.8204,664.5,2/2/1970,,,,,,,,,1.07,",,0,0800",0,",,0,",0,",,0,",,,,,,
