STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/2/1970,,,,,,,,,0.15,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/3/1970,,,,,,,,,0.2,",,0,0800",1,",,0,",1,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/4/1970,,,,,,,,,0.15,",,0,0800",3,",,0,",2,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/5/1970,,,,,,,,,0,",,0,0800",0,",,0,",1,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/6/1970,,,,,,,,,0.03,",,0,0800",0,"T,,0,",1,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/7/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/8/1970,,,,,,,,,0.17,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/9/1970,,,,,,,,,0.28,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/10/1970,,,,,,,,,0.21,",,0,0800",1,",,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/11/1970,,,,,,,,,0.02,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/12/1970,,,,,,,,,0.07,",,0,0800",1.4,",,0,",1,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/13/1970,,,,,,,,,0,"T,,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/14/1970,,,,,,,,,0,"T,,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/15/1970,,,,,,,,,1.37,",,0,0800",3,",,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/16/1970,,,,,,,,,1.04,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/17/1970,,,,,,,,,0.06,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/18/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/19/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/20/1970,,,,,,,,,0,"T,,0,0800",0,"T,,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/21/1970,,,,,,,,,0,"T,,0,0800",0,"T,,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/22/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/23/1970,,,,,,,,,0.12,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/24/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/25/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/26/1970,,,,,,,,,0.16,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/27/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,2/28/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/2/1970,,,,,,,,,0.07,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/3/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/4/1970,,,,,,,,,0.03,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/5/1970,,,,,,,,,0.57,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/6/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/7/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/8/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/9/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/10/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/11/1970,,,,,,,,,0,"T,,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/12/1970,,,,,,,,,0.31,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/13/1970,,,,,,,,,0.37,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/14/1970,,,,,,,,,0.02,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/15/1970,,,,,,,,,0.02,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/16/1970,,,,,,,,,0.03,",,0,0800",0,"T,,0,",0,"T,,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/17/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/18/1970,,,,,,,,,0.13,",,0,0800",0,"T,,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/19/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/20/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/21/1970,,,,,,,,,0,"T,,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/22/1970,,,,,,,,,0.25,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/23/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/24/1970,,,,,,,,,0.04,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/25/1970,,,,,,,,,0.04,",,0,0800",0,"T,,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/26/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/27/1970,,,,,,,,,0.15,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/28/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/29/1970,,,,,,,,,0.36,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/30/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,3/31/1970,,,,,,,,,0.05,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",68,",,0",34,",,0",34,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/2/1970,,,,,,,,,1.22,",,0,0800",0,",,0,",0,",,0,",64,",,0",34,",,0",48,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/3/1970,,,,,,,,,0.1,",,0,0800",0,"T,,0,",0,",,0,",58,",,0",26,",,0",26,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/4/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",64,",,0",26,",,0",31,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/5/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",68,",,0",22,",,0",26,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/6/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",64,",,0",26,",,0",42,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/7/1970,,,,,,,,,0.25,",,0,0800",0,",,0,",0,",,0,",57,",,0",34,",,0",43,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/8/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",64,",,0",22,",,0",22,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/9/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",77,",,0",22,",,0",38,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/10/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",74,",,0",34,",,0",34,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/11/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",72,",,0",26,",,0",28,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/12/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",80,",,0",26,",,0",32,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/13/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",86,",,0",30,",,0",48,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/14/1970,,,,,,,,,0.25,",,0,0800",0,",,0,",0,",,0,",80,",,0",36,",,0",38,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/15/1970,,,,,,,,,0.04,",,0,0800",0,",,0,",0,",,0,",54,",,0",38,",,0",41,",,0,",,,,,,,,,,
