STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/1/1970,,,,,0.01,",,0,1800",0,",,0,",0,",,0,",46,",,0",32,",,0",35,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/2/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",43,",,0",23,",,0",33,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/3/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",49,",,0",28,",,0",37,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/4/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",37,",,0",23,",,0",28,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/5/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",47,",,0",11,",,0",40,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/6/1970,,,,,0.35,",,0,1800",1,",,0,",1,",,0,",40,",,0",30,",,0",33,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/7/1970,,,,,0.42,",,0,1800",2,",,0,",2,",,0,",34,",,0",28,",,0",30,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/8/1970,,,,,0.04,",,0,1800",0.5,",,0,",2,",,0,",30,",,0",12,",,0",15,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/9/1970,,,,,0,"T,,0,1800",0,",,0,",2,",,0,",16,",,0",5,",,0",13,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/10/1970,,,,,0,",,0,1800",0,",,0,",2,",,0,",33,",,0",2,",,0",28,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/11/1970,,,,,0,",,0,1800",0,",,0,",2,",,0,",40,",,0",6,",,0",32,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/12/1970,,,,,0,",,0,1800",0,",,0,",2,",,0,",39,",,0",30,",,0",36,",,0,1800"
