STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/1/1970,,,,,,,0,"T,,0,1700",0,"T,,0,",0,",,0,",30,",,0",26,",,0",28,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/2/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",36,",,0",18,",,0",31,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/3/1970,,,,,,,0.05,",,0,1700",1.2,",,0,",1,",,0,",31,",,0",18,",,0",20,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/4/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",29,",,0",6,",,0",28,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/5/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",37,",,0",20,",,0",36,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/6/1970,,,,,,,0.07,",,0,1700",2.3,",,0,",2,",,0,",36,",,0",23,",,0",28,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/7/1970,,,,,,,0.07,",,0,1700",2.2,",,0,",4,",,0,",28,",,0",5,",,0",9,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/8/1970,,,,,,,0.02,",,0,1700",0.3,",,0,",4,",,0,",9,",,0",-6,",,0",0,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/9/1970,,,,,,,0.02,",,0,1700",0.2,",,0,",4,",,0,",4,",,0",-10,",,0",3,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/10/1970,,,,,,,0,",,0,1700",0,",,0,",3,",,0,",22,",,0",-9,",,0",15,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/11/1970,,,,,,,0.02,",,0,1700",0,"T,,0,",2,",,0,",30,",,0",7,",,0",30,",,0,1700",,,,,1,",,0",,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/12/1970,,,,,,,0.05,",,0,1700",0.2,",,0,",2,",,0,",32,",,0",23,",,0",25,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/13/1970,,,,,,,0,",,0,1700",0,",,0,",1,",,0,",34,",,0",14,",,0",32,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/14/1970,,,,,,,0,",,0,1700",0,",,0,",1,",,0,",40,",,0",18,",,0",39,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/15/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",50,",,0",24,",,0",49,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/16/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",50,",,0",27,",,0",47,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/17/1970,,,,,,,0.16,",,0,1700",0,",,0,",0,"T,,0,",47,",,0",33,",,0",42,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/18/1970,,,,,,,0.12,",,0,1700",0.1,",,0,",0,"T,,0,",42,",,0",30,",,0",30,",,0,1700",,,,,1,",,0",,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/19/1970,,,,,,,0.02,",,0,1700",0.2,",,0,",0,"T,,0,",30,",,0",19,",,0",19,",,0,1700",,,,,,,,,1,",,0",,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/20/1970,,,,,,,0.19,",,0,1700",2.8,",,0,",3,",,0,",21,",,0",17,",,0",20,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/21/1970,,,,,,,0.02,",,0,1700",0.2,",,0,",3,",,0,",20,",,0",-7,",,0",10,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/22/1970,,,,,,,0,",,0,1700",0,",,0,",2,",,0,",23,",,0",-11,",,0",22,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/23/1970,,,,,,,0.2,",,0,1700",3.4,",,0,",5,",,0,",23,",,0",11,",,0",21,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/24/1970,,,,,,,0.04,",,0,1700",0.5,",,0,",2,",,0,",35,",,0",14,",,0",32,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/25/1970,,,,,,,0.05,",,0,1700",0,",,0,",0,"T,,0,",45,",,0",31,",,0",41,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/26/1970,,,,,,,0.02,",,0,1700",0,",,0,",0,",,0,",50,",,0",39,",,0",45,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/27/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",50,",,0",28,",,0",48,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/28/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",60,",,0",33,",,0",59,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/29/1970,,,,,,,0.88,",,0,1700",0,",,0,",0,",,0,",60,",,0",48,",,0",51,",,0,1700",,,1,",,0",,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/30/1970,,,,,,,0,"T,,0,1700",0,"T,,0,",0,",,0,",51,",,0",21,",,0",29,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,1/31/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",41,",,0",22,",,0",41,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/1/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",47,",,0",30,",,0",42,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/2/1970,,,,,,,0.25,",,0,1700",0,",,0,",0,",,0,",48,",,0",38,",,0",44,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/3/1970,,,,,,,0.24,",,0,1700",3.8,",,0,",4,",,0,",44,",,0",10,",,0",12,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/4/1970,,,,,,,0.01,",,0,1700",0.3,",,0,",3,",,0,",23,",,0",-13,",,0",20,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/5/1970,,,,,,,0,",,0,1700",0,",,0,",2,",,0,",33,",,0",17,",,0",31,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/6/1970,,,,,,,0.02,",,0,1700",0.3,",,0,",1,",,0,",41,",,0",26,",,0",39,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/7/1970,,,,,,,0,"T,,0,1700",0,",,0,",0,"T,,0,",45,",,0",26,",,0",37,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/8/1970,,,,,,,0.2,",,0,1700",0,",,0,",0,",,0,",42,",,0",33,",,0",37,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/9/1970,,,,,,,0.31,",,0,1700",1.2,",,0,",0,"T,,0,",37,",,0",30,",,0",32,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/10/1970,,,,,,,0.11,",,0,1700",1.7,",,0,",2,",,0,",32,",,0",23,",,0",27,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/11/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",37,",,0",23,",,0",35,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/12/1970,,,,,,,0.03,",,0,1700",0.4,",,0,",0,"T,,0,",35,",,0",20,",,0",33,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/13/1970,,,,,,,0,",,0,1700",0,",,0,",0,"T,,0,",41,",,0",23,",,0",34,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/14/1970,,,,,,,0.54,",,0,1700",2.2,",,0,",1,",,0,",36,",,0",25,",,0",35,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/15/1970,,,,,,,0.9,",,0,1700",0,",,0,",0,",,0,",51,",,0",32,",,0",49,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/16/1970,,,,,,,0.08,",,0,1700",0,",,0,",0,",,0,",49,",,0",28,",,0",32,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/17/1970,,,,,,,0.02,",,0,1700",0,",,0,",0,",,0,",43,",,0",30,",,0",43,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/18/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",58,",,0",31,",,0",57,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/19/1970,,,,,,,0,"T,,0,1700",0,"T,,0,",0,",,0,",57,",,0",25,",,0",27,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/20/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",31,",,0",18,",,0",29,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/21/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",43,",,0",10,",,0",42,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/22/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",48,",,0",26,",,0",45,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/23/1970,,,,,,,0.04,",,0,1700",0,",,0,",0,",,0,",48,",,0",32,",,0",46,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/24/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",50,",,0",25,",,0",47,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/25/1970,,,,,,,0.09,",,0,1700",0,"T,,0,",0,"T,,0,",50,",,0",26,",,0",28,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/26/1970,,,,,,,0.04,",,0,1700",1.1,",,0,",0,",,0,",35,",,0",-1,",,0",35,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/27/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",53,",,0",26,",,0",52,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,2/28/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",58,",,0",28,",,0",57,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/1/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",58,",,0",38,",,0",52,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/2/1970,,,,,,,0.11,",,0,1700",0,",,0,",0,",,0,",62,",,0",42,",,0",61,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/3/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",63,",,0",44,",,0",60,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/4/1970,,,,,,,0.35,",,0,1700",0,",,0,",0,",,0,",60,",,0",49,",,0",56,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/5/1970,,,,,,,0.09,",,0,1700",0,",,0,",0,",,0,",56,",,0",39,",,0",39,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/6/1970,,,,,,,0.01,",,0,1700",0,",,0,",0,",,0,",49,",,0",25,",,0",45,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/7/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",54,",,0",23,",,0",50,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/8/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",58,",,0",34,",,0",57,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/9/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",64,",,0",33,",,0",63,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/10/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",63,",,0",36,",,0",63,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/11/1970,,,,,,,0,"T,,0,1700",0,",,0,",0,",,0,",63,",,0",34,",,0",51,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/12/1970,,,,,,,0.85,",,0,1700",0,",,0,",0,",,0,",57,",,0",35,",,0",48,",,0,1700",,,1,",,0",,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/13/1970,,,,,,,0.09,",,0,1700",0,"T,,0,",0,"T,,0,",48,",,0",24,",,0",29,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/14/1970,,,,,,,0,"T,,0,1700",1,",,0,",0,"T,,0,",29,",,0",21,",,0",28,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/15/1970,,,,,,,0,"T,,0,1700",0.4,",,0,",0,",,0,",29,",,0",20,",,0",24,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/16/1970,,,,,,,0.05,",,0,1700",1.2,",,0,",0,"T,,0,",32,",,0",11,",,0",32,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/17/1970,,,,,,,0.02,",,0,1700",0.2,",,0,",0,",,0,",47,",,0",22,",,0",47,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/18/1970,,,,,,,0.19,",,0,1700",0,",,0,",0,",,0,",54,",,0",36,",,0",54,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/19/1970,,,,,,,0.01,",,0,1700",0,",,0,",0,",,0,",55,",,0",36,",,0",52,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/20/1970,,,,,,,0.01,",,0,1700",0,",,0,",0,",,0,",59,",,0",48,",,0",59,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/21/1970,,,,,,,0,"T,,0,1700",0,",,0,",0,",,0,",59,",,0",34,",,0",40,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/22/1970,,,,,,,0.32,",,0,1700",0,"T,,0,",0,",,0,",40,",,0",33,",,0",33,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/23/1970,,,,,,,0.05,",,0,1700",0.2,",,0,",0,",,0,",40,",,0",31,",,0",37,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/24/1970,,,,,,,0.02,",,0,1700",0.2,",,0,",0,"T,,0,",37,",,0",27,",,0",35,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/25/1970,,,,,,,0.02,",,0,1700",0,",,0,",0,",,0,",63,",,0",31,",,0",63,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/26/1970,,,,,,,0.24,",,0,1700",0,",,0,",0,",,0,",63,",,0",37,",,0",37,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/27/1970,,,,,,,0.01,",,0,1700",0,",,0,",0,",,0,",49,",,0",25,",,0",48,",,0,1700",,,,,,,,,,,,
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,3/28/1970,,,,,,,0,",,0,1700",0,",,0,",0,",,0,",60,",,0",27,",,0",58,",,0,1700",,,,,,,,,,,,
